Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2015-16,2016-17,2017-18,2018-19,2019-20,Source document,Source table
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Administered expenses,Ordinary Annual Services (Appropriation Bill No. 1),Community Development Grants Fund,111807,90101,81643,0,0,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Administered expenses,Ordinary Annual Services (Appropriation Bill No. 1),Drought Communities Program,12000,13000,5000,5000,0,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Administered expenses,Ordinary Annual Services (Appropriation Bill No. 1),Latrobe Valley economic diversification (b),5400,0,0,0,0,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Administered expenses,Ordinary Annual Services (Appropriation Bill No. 1),National Stronger Regions Fund,35000,200000,315000,250000,200000,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Administered expenses,Ordinary Annual Services (Appropriation Bill No. 1),Regional Development Australia Committees,18303,18302,18320,18337,18686,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Administered expenses,Ordinary Annual Services (Appropriation Bill No. 1),Regional Development Australia Fund,40943,33602,0,0,0,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Administered expenses,Ordinary Annual Services (Appropriation Bill No. 1),Stronger Communities Program,22500,22500,0,0,0,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Administered expenses,Ordinary Annual Services (Appropriation Bill No. 1),Tasmanian Jobs and Growth Package,24662,26560,0,0,0,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Departmental expenses,Departmental appropriation,,24132,23760,22415,21010,21225,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Departmental expenses,s74 retained revenue receipts,,258,142,146,147,148,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.1: Regional development,Departmental expenses,Expenses not requiring appropriation in the Budget year,,1493,1497,980,877,823,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.2: Local government,Administered expenses,Special Appropriations Assistance) Act 1995,Local Government (Financial Assistance) Act 1995,1144189,2288677,2381368,2474480,2575438,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.2: Local government,Administered expenses,Expenses not requiring appropriation in the Budget year,,35,0,0,0,0,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.2: Local government,Departmental expenses,Departmental appropriation,,1723,1637,1542,1512,1548,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.2: Local government,Departmental expenses,s74 retained revenue receipts,,23,11,12,12,12,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Infrastructure and Regional Development Portfolio,Department of Infrastructure and Regional Development,Outcome 3,Program 3.2: Local government,Departmental expenses,Expenses not requiring appropriation in the Budget year,,120,112,76,67,63,Department of Infrastructure and Regional Development 2016-17 PBS,Table 2.3.1
Parliamentary Departments,Parliamentary Budget Office,"Outcome 1: To inform the Parliament by providing independent and non-partisan analysis of the budget cycle, fiscal policy and the financial implications of proposals",Program 1.1: Parliamentary Budget Office,Departmental expenses,Departmental appropriation,,7379,6922,6883,7461,7008,Parliamentary Budget Office 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Parliamentary Budget Office,"Outcome 1: To inform the Parliament by providing independent and non-partisan analysis of the budget cycle, fiscal policy and the financial implications of proposals",Program 1.1: Parliamentary Budget Office,Departmental expenses,Special appropriations,Parliamentary Service Act 1999,100,1200,729,840,982,Parliamentary Budget Office 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Parliamentary Budget Office,"Outcome 1: To inform the Parliament by providing independent and non-partisan analysis of the budget cycle, fiscal policy and the financial implications of proposals",Program 1.1: Parliamentary Budget Office,Departmental expenses,"Expenses not requiring appropriation in the Budget 
year",,608,685,685,685,685,Parliamentary Budget Office 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.1: Other Departmental DHOR - Chamber and Federation Chamber,Departmental expenses,Departmental item appropriation,,3163,3374,3141,3160,3179,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.1: Other Departmental DHOR - Chamber and Federation Chamber,Departmental expenses,s74 Retained revenue receipts,,10,10,10,10,10,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.2: Other Departmental DHOR - Community Relations and Awareness,Departmental expenses,Departmental item appropriation,,753,808,750,755,760,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.2: Other Departmental DHOR - Community Relations and Awareness,Departmental expenses,s74 Retained revenue receipts,,30,27,27,27,27,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.3: Other Departmental DHOR - Committee Services,Departmental expenses,Departmental item appropriation,,8540,9110,8482,8530,8582,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.3: Other Departmental DHOR - Committee Services,Departmental expenses,s74 Retained revenue receipts,,0,0,0,0,0,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.4: Other Departmental DHOR - Inter - Parliamentary Relations and Capacity Building,Departmental expenses,Special Accounts,Inter-Parliamentary Relations,51,51,51,51,51,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.4: Other Departmental DHOR - Inter - Parliamentary Relations and Capacity Building,Departmental expenses,Departmental item appropriation,,1185,1264,1177,1183,1191,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.5: Other Departmental DHOR - Members' and Corporate Support,Departmental expenses,s74 Retained revenue receipts,,900,759,318,0,0,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.5: Other Departmental DHOR - Members' and Corporate Support,Departmental expenses,Departmental item appropriation,,7992,8536,7946,7992,8042,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1.5: Other Departmental DHOR - Members' and Corporate Support,Departmental expenses,s74 Retained revenue receipts,,25,15,15,15,15,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1: Other Departmental DHOR - Other Expenses,Departmental expenses,"Expenses not requiring appropriation in the Budget 
year",,2993,3005,3035,3035,3035,Department of the House of Representatives 2016-17 PBS,Table 2.1.2
Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 2: Schools Hospitality,Administered expenses,Ordinary annual services (Appropriation (Parliamentary Departments) Bill No. 1),,324,322,322,315,321,Department of the House of Representatives 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Department of Parliamentary Services,"Outcome 1: Support the functions of Parliament and parliamentarians through the provision of professional services, advice and facilities and maintain Australian Parliament House",Program 1: Parliamentary Services,Departmental expenses,Departmental appropriation,,119003,118568,118781,119912,120992,Department of Parliamentary Services 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Department of Parliamentary Services,"Outcome 1: Support the functions of Parliament and parliamentarians through the provision of professional services, advice and facilities and maintain Australian Parliament House",Program 1: Parliamentary Services,Departmental expenses,s 74 Retained revenue receipts,,7579,7619,7660,7702,7702,Department of Parliamentary Services 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Department of Parliamentary Services,"Outcome 1: Support the functions of Parliament and parliamentarians through the provision of professional services, advice and facilities and maintain Australian Parliament House",Program 1: Parliamentary Services,Departmental expenses,Expenses not requiring appropriation in the Budget year,,23140,23140,23140,23140,23140,Department of Parliamentary Services 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Department of Parliamentary Services,"Outcome 1: Support the functions of Parliament and parliamentarians through the provision of professional services, advice and facilities and maintain Australian Parliament House",Program 2: Parliament House Works Program,Administered expenses,Ordinary annual services (Appropriation (Parliamentary Departments) Bill No. 1),,6703,6993,5373,5229,5328,Department of Parliamentary Services 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Department of Parliamentary Services,"Outcome 1: Support the functions of Parliament and parliamentarians through the provision of professional services, advice and facilities and maintain Australian Parliament House",Program 2: Parliament House Works Program,Administered expenses,Expenses not requiring appropriation in the Budget year,,31498,33403,33813,34122,34122,Department of Parliamentary Services 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Department of the Senate,Outcome 1: Advisory and administrative support services to enable the Senate and senators to fulfil their representative and legislative duties.,Program 1: Department of the Senate,Departmental expenses,Departmental appropriation,,21136,22864,20015,20334,20470,Department of the Senate 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Department of the Senate,Outcome 1: Advisory and administrative support services to enable the Senate and senators to fulfil their representative and legislative duties.,Program 1: Department of the Senate,Departmental expenses,s 74 Retained revenue receipts,,511,450,450,450,450,Department of the Senate 2016-17 PBS,Table 2.1.1
Parliamentary Departments,Department of the Senate,Outcome 1: Advisory and administrative support services to enable the Senate and senators to fulfil their representative and legislative duties.,Program 1: Department of the Senate,Departmental expenses,"Expenses not requiring appropriation in the Budget 
year",,587,538,404,412,415,Department of the Senate 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Aboriginal Hostels Limited,"Outcome 1:  Improved access to education, employment, health and other services for Aboriginal and Torres Strait Islander people travelling or relocating through the operation of temporary hostel accommodation services.",Program 1.1: Company Operated Hostels,[not published],"Ordinary annual services 
  (Appropriation Bill No. 1)",,37582,37075,37196,37363,37727,Aboriginal Hostels Limited 2016-17 PBS,Table 2.1.2
Prime Minister and Cabinet Portfolio,Aboriginal Hostels Limited,"Outcome 1:  Improved access to education, employment, health and other services for Aboriginal and Torres Strait Islander people travelling or relocating through the operation of temporary hostel accommodation services.",Program 1.1: Company Operated Hostels,[not published],Payment from related entities,,4714,4714,4714,4714,4714,Aboriginal Hostels Limited 2016-17 PBS,Table 2.1.2
Prime Minister and Cabinet Portfolio,Aboriginal Hostels Limited,"Outcome 1:  Improved access to education, employment, health and other services for Aboriginal and Torres Strait Islander people travelling or relocating through the operation of temporary hostel accommodation services.",Program 1.1: Company Operated Hostels,[not published],Revenues from other independent sources ,,16651,16013,15680,15799,15918,Aboriginal Hostels Limited 2016-17 PBS,Table 2.1.2
Prime Minister and Cabinet Portfolio,Australian National Audit Office,"Outcome 1: To improve public sector performance and accountability through independent reporting on Australian Government administration to Parliament, the Executive and the public. ",Program 1.1: Assurance Audit Services,Departmental expenses,Departmental appropriation ,,42848,43113,42681,42792,42977,Australian National Audit Office 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian National Audit Office,"Outcome 1: To improve public sector performance and accountability through independent reporting on Australian Government administration to Parliament, the Executive and the public. ",Program 1.1: Assurance Audit Services,Departmental expenses,s74 Retained revenue receipts,,2789,2974,2974,2974,2974,Australian National Audit Office 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian National Audit Office,"Outcome 1: To improve public sector performance and accountability through independent reporting on Australian Government administration to Parliament, the Executive and the public. ",Program 1.1: Assurance Audit Services,Departmental expenses,Special appropriations,"Auditor-General remuneration and expense - Auditor-General Act 1997 Schedule 1, sections 3 and 7",322,360,379,399,420,Australian National Audit Office 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian National Audit Office,"Outcome 1: To improve public sector performance and accountability through independent reporting on Australian Government administration to Parliament, the Executive and the public. ",Program 1.1: Assurance Audit Services,[not published],Expenses not requiring appropriation in the budget year,,1015,1005,1007,578,520,Australian National Audit Office 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian National Audit Office,"Outcome 1: To improve public sector performance and accountability through independent reporting on Australian Government administration to Parliament, the Executive and the public. ",Program 1.2: Performance Audit Services,Departmental expenses,Departmental appropriation ,,29238,29030,28488,28577,28678,Australian National Audit Office 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian National Audit Office,"Outcome 1: To improve public sector performance and accountability through independent reporting on Australian Government administration to Parliament, the Executive and the public. ",Program 1.2: Performance Audit Services,Departmental expenses,s74 Retained revenue receipts,,1011,1026,1026,1026,1026,Australian National Audit Office 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian National Audit Office,"Outcome 1: To improve public sector performance and accountability through independent reporting on Australian Government administration to Parliament, the Executive and the public. ",Program 1.2: Performance Audit Services,Departmental expenses,Special appropriations,"Auditor-General remuneration and expense - Auditor-General Act 1997 Schedule 1, sections 3 and 7",322,360,378,398,419,Australian National Audit Office 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian National Audit Office,"Outcome 1: To improve public sector performance and accountability through independent reporting on Australian Government administration to Parliament, the Executive and the public. ",Program 1.2: Performance Audit Services,[not published],Expenses not requiring appropriation in the budget year,,890,881,884,470,445,Australian National Audit Office 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian Public Service Commission,"Outcome 1: Increased awareness and adoption of best practice public administration by the public service through leadership, promotion, advice and professional development, drawing on research and evaluation.",Program 1.1: Australian Public Service Commission,Departmental expenses,Departmental appropriation,,20638,20341,20398,20516,20776,Australian Public Service Commission 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian Public Service Commission,"Outcome 1: Increased awareness and adoption of best practice public administration by the public service through leadership, promotion, advice and professional development, drawing on research and evaluation.",Program 1.1: Australian Public Service Commission,Departmental expenses,s 74 Retained revenue receipts,,20428,19830,19654,19789,19922,Australian Public Service Commission 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian Public Service Commission,"Outcome 1: Increased awareness and adoption of best practice public administration by the public service through leadership, promotion, advice and professional development, drawing on research and evaluation.",Program 1.1: Australian Public Service Commission,Departmental expenses,Expenses not requiring appropriation in the budget year,,1164,1165,1166,1167,1168,Australian Public Service Commission 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Australian Public Service Commission,"Outcome 1: Increased awareness and adoption of best practice public administration by the public service through leadership, promotion, advice and professional development, drawing on research and evaluation.",Program 1.2: Parliamentarians' and Judicial Office Holders' Remuneration and Entitlements,Administered expenses,Special appropriations,Remuneration Tribunal Act 1973,63141,64404,65692,67006,68212,Australian Public Service Commission 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Torres Strait Regional Authority,"Outcome 1: Progress towards Closing the Gap for Torres Strait Islander and Aboriginal people living in the Torres Strait Region through development planning, coordination, sustainable resource management, and preservation and promotion of Indigenous culture.",Program 1.1: Torres Strait Regional Development,[not published],"Ordinary annual services 
  (Appropriation Bill No. 1)",,39498,35919,36229,36528,36832,Torres Strait Regional Authority 2016-17 PBS,Table 2.1.2
Prime Minister and Cabinet Portfolio,Torres Strait Regional Authority,"Outcome 1: Progress towards Closing the Gap for Torres Strait Islander and Aboriginal people living in the Torres Strait Region through development planning, coordination, sustainable resource management, and preservation and promotion of Indigenous culture.",Program 1.1: Torres Strait Regional Development,[not published],"Revenues from other 
  independent sources ",,11432,11688,12550,12550,12550,Torres Strait Regional Authority 2016-17 PBS,Table 2.1.2
Prime Minister and Cabinet Portfolio,Office of the Official Secretary to the Governor-General,"Outcome 1: The performance of the Governor-General's role is facilitated through the organisation and management of official duties, management and maintenance of the official household and property and administration of the Australian Honours and Awards system.",Program 1.1: Support of the Governor-General and Official Activities,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)",,1410,1431,1492,1534,1547,Office of the Official Secretary to the Governor-General 2016-17 PBS,Table 2.1
Prime Minister and Cabinet Portfolio,Office of the Official Secretary to the Governor-General,"Outcome 1: The performance of the Governor-General's role is facilitated through the organisation and management of official duties, management and maintenance of the official household and property and administration of the Australian Honours and Awards system.",Program 1.1: Support of the Governor-General and Official Activities,Administered expenses,Special appropriations,,425,425,425,425,425,Office of the Official Secretary to the Governor-General 2016-17 PBS,Table 2.1
Prime Minister and Cabinet Portfolio,Office of the Official Secretary to the Governor-General,"Outcome 1: The performance of the Governor-General's role is facilitated through the organisation and management of official duties, management and maintenance of the official household and property and administration of the Australian Honours and Awards system.",Program 1.1: Support of the Governor-General and Official Activities,Administered expenses,"Expenses not requiring
  appropriation in the
   Budget year",,796,747,728,864,954,Office of the Official Secretary to the Governor-General 2016-17 PBS,Table 2.1
Prime Minister and Cabinet Portfolio,Office of the Official Secretary to the Governor-General,"Outcome 1: The performance of the Governor-General's role is facilitated through the organisation and management of official duties, management and maintenance of the official household and property and administration of the Australian Honours and Awards system.",Program 1.1: Support of the Governor-General and Official Activities,Departmental expenses,Departmental appropriation,,11226,11080,11161,11260,11395,Office of the Official Secretary to the Governor-General 2016-17 PBS,Table 2.1
Prime Minister and Cabinet Portfolio,Office of the Official Secretary to the Governor-General,"Outcome 1: The performance of the Governor-General's role is facilitated through the organisation and management of official duties, management and maintenance of the official household and property and administration of the Australian Honours and Awards system.",Program 1.1: Support of the Governor-General and Official Activities,Departmental expenses,"Expenses not requiring
  appropriation in the
   Budget year",,416,410,441,449,445,Office of the Official Secretary to the Governor-General 2016-17 PBS,Table 2.1
Prime Minister and Cabinet Portfolio,Office of National Assessments,Outcome 1: Advancement of Australia's national interests through increased government awareness of international developments affecting Australia.,Program 1.1: Assessment and Reports,Departmental expenses,Departmental appropriation,,21191,22026,22471,23456,24549,Office of National Assessments 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Office of National Assessments,Outcome 1: Advancement of Australia's national interests through increased government awareness of international developments affecting Australia.,Program 1.1: Assessment and Reports,Departmental expenses,"Expenses not requiring
  appropriation in the
   Budget year",,2342,2934,3044,3050,3073,Office of National Assessments 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Office of National Assessments,Outcome 1: Advancement of Australia's national interests through increased government awareness of international developments affecting Australia.,Program 1.2: Coordination and Evaluation,Departmental expenses,Departmental appropriation ,,9082,9440,9631,10053,10521,Office of National Assessments 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Office of National Assessments,Outcome 1: Advancement of Australia's national interests through increased government awareness of international developments affecting Australia.,Program 1.2: Coordination and Evaluation,Departmental expenses,"Expenses not requiring
  appropriation in the
   Budget year",,1003,1257,1304,1307,1317,Office of National Assessments 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Office of the Inspector-General of Intelligence and Security,"Outcome 1: Independent assurance for the Prime Minister, senior ministers and Parliament as to whether Australia's intelligence and security agencies act legally and with propriety by inspecting, inquiring into and reporting on their activities.",Program 1.1: Office of the Inspector-General of Intelligence and Security,Departmental expenses,Departmental appropriation ,,3050,3118,3160,3212,3263,Office of the Inspector-General of Intelligence and Security 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Office of the Inspector-General of Intelligence and Security,"Outcome 1: Independent assurance for the Prime Minister, senior ministers and Parliament as to whether Australia's intelligence and security agencies act legally and with propriety by inspecting, inquiring into and reporting on their activities.",Program 1.1: Office of the Inspector-General of Intelligence and Security,Departmental expenses,"Expenses not requiring
  appropriation in the
   Budget year",,131,140,166,166,166,Office of the Inspector-General of Intelligence and Security 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Office of the Commonwealth Ombudsman,"Outcome 1: Fair and accountable administrative action by Australian Government entities and prescribed private sector organisations, by investigating complaints, reviewing administrative action and statutory compliance inspections and reporting.",Program 1.1: Office of the Commonwealth Ombudsman,Departmental expenses,Departmental appropriation,,23097,22369,22137,21685,21517,Office of the Commonwealth Ombudsman 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Office of the Commonwealth Ombudsman,"Outcome 1: Fair and accountable administrative action by Australian Government entities and prescribed private sector organisations, by investigating complaints, reviewing administrative action and statutory compliance inspections and reporting.",Program 1.1: Office of the Commonwealth Ombudsman,Departmental expenses,"Expenses not requiring
  appropriation in the
   Budget year",,1091,985,967,995,1015,Office of the Commonwealth Ombudsman 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Indigenous Business Australia,"Outcome 1: Improved wealth acquisition to support the economic  independence of Aboriginal and Torres Strait Islander peoples through commercial enterprise, asset acquisition, construction and access to concessional home and business loans.",Program 1.1: Equities and Investments,[not published],Revenues from other independent sources ,,120909,113993,93291,91234,93174,Indigenous Business Australia 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Indigenous Business Australia,"Outcome 1: Improved wealth acquisition to support the economic  independence of Aboriginal and Torres Strait Islander peoples through commercial enterprise, asset acquisition, construction and access to concessional home and business loans.",Program 1.2: Indigenous Home Ownership,[not published],"Ordinary annual services
  (Appropriation Bill No. 1)",,10868,10602,10698,10694,10705,Indigenous Business Australia 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Indigenous Business Australia,"Outcome 1: Improved wealth acquisition to support the economic  independence of Aboriginal and Torres Strait Islander peoples through commercial enterprise, asset acquisition, construction and access to concessional home and business loans.",Program 1.2: Indigenous Home Ownership,[not published],Revenues from other independent sources ,,41158,37305,38407,39638,40886,Indigenous Business Australia 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Indigenous Business Australia,"Outcome 1: Improved wealth acquisition to support the economic  independence of Aboriginal and Torres Strait Islander peoples through commercial enterprise, asset acquisition, construction and access to concessional home and business loans.",Program 1.3: Business Development and Assistance,[not published],"Ordinary annual services
  (Appropriation Bill No. 1)",,23390,0,23022,23017,23041,Indigenous Business Australia 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Indigenous Business Australia,"Outcome 1: Improved wealth acquisition to support the economic  independence of Aboriginal and Torres Strait Islander peoples through commercial enterprise, asset acquisition, construction and access to concessional home and business loans.",Program 1.3: Business Development and Assistance,[not published],Revenues from other independent sources ,,9579,30169,7901,8679,9447,Indigenous Business Australia 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)",Compensation and Legal Expenses,121,121,125,123,125,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)",Geocoded National Address File,4314,8140,8296,8455,0,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)",National Australia Day Council Limited,3803,3828,3883,3914,3949,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)","National Counter Terrorism Committee
  Secretariat",111,112,112,113,115,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)",Office for Women,3555,3602,3306,3336,3363,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)",Parliament House Briefing Room,446,447,453,457,474,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)",Prime Minister's Official Residences,1738,1768,1816,1862,1878,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
